"date",".","ARIST","BAMU","BOER4","DAPU7","EVNU","GUSA2","HYFL","LIAU4","MIRU5","PAHA","POJA5","PRGL2","SEBA3","SPFL2"
1915-06-01,1,4,0,48,0,0,6,0,0,0,0,2,2,0,0
1915-10-01,1,4,0,35,0,0,0,0,0,0,0,0,0,3,0
1916-05-01,1,13,0,35,0,0,1,0,0,0,0,1,0,4,4
1916-09-01,1,3,0,25,0,0,0,0,0,0,0,1,2,2,0
1917-06-01,0,4,0,26,0,1,0,5,0,0,0,2,3,1,0
1917-09-01,0,6,1,33,0,1,0,3,0,0,1,3,2,2,0
1918-09-01,0,5,0,8,0,0,0,0,0,0,0,2,3,0,0
1919-07-01,0,8,0,11,0,0,0,7,1,0,0,4,3,0,0
1919-10-01,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0
1920-10-01,0,7,0,9,0,0,0,7,1,0,0,3,2,0,0
1921-10-01,0,6,0,9,0,0,0,0,0,0,0,2,4,1,0
1922-10-01,0,3,0,7,0,0,0,0,0,0,0,2,3,0,0
1923-10-01,0,4,0,6,0,1,0,0,0,0,0,3,2,4,0
1924-10-01,0,3,0,7,0,0,0,0,0,0,0,2,2,0,0
1925-10-01,0,1,0,4,0,0,0,0,0,0,0,4,2,4,0
1926-09-01,0,1,0,4,0,0,0,1,0,0,0,5,2,2,0
1927-09-01,0,1,0,14,0,0,0,0,0,0,0,5,2,1,0
1928-09-01,0,2,0,8,0,0,0,0,0,0,2,5,2,0,0
1929-09-01,0,3,0,8,0,0,0,0,0,0,2,6,2,0,0
1930-08-01,0,5,0,10,0,0,0,0,0,0,1,6,2,0,0
1931-09-01,0,7,0,8,0,0,0,0,0,1,1,4,2,0,0
1932-09-01,0,5,0,21,0,0,0,1,0,1,2,6,5,0,0
1933-10-01,0,9,0,17,0,0,0,0,3,0,1,2,3,0,0
1934-10-01,0,3,0,0,0,0,0,0,0,1,0,2,2,0,0
1935-05-01,0,2,1,0,0,0,0,0,3,0,0,1,1,0,0
1935-10-01,0,1,1,2,0,0,0,5,5,1,0,3,1,0,0
1936-10-01,0,1,2,1,0,0,1,4,0,1,0,3,1,0,0
1937-10-01,0,0,2,1,0,0,1,1,1,1,0,3,1,1,3
1938-09-01,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4
1940-01-01,0,0,6,2,0,0,0,0,3,0,0,0,1,0,5
1941-02-01,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2
1942-01-01,0,0,0,1,0,0,0,1,2,0,0,0,1,0,6
1942-10-01,0,0,1,2,0,0,0,3,0,0,0,0,1,0,8
1943-12-01,0,8,0,3,0,0,0,0,0,0,0,0,1,0,9
1944-09-01,0,1,2,1,0,0,0,0,0,1,0,0,1,0,11
1945-09-01,0,1,5,3,0,0,0,0,0,0,0,0,1,0,8
1947-02-01,0,1,0,4,0,0,1,0,0,0,0,0,1,0,11
1947-09-01,0,0,0,3,0,0,1,0,0,0,0,0,1,0,12
1949-09-01,0,1,0,1,0,0,0,0,0,0,0,0,1,1,6
1950-11-01,0,1,0,1,0,0,0,0,0,0,0,0,1,2,8
1951-08-01,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6
1952-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1956-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1958-09-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1960-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1961-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1965-10-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7
1966-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1968-08-01,0,0,0,0,0,0,1,0,0,0,0,0,1,3,9
1971-07-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
1972-08-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4
1974-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1976-07-01,0,0,0,0,4,0,1,0,0,0,0,0,2,2,2
1995-10-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2001-10-01,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
